CpG_id	Symbol	Description
cg07764959	SLC43A1	solute carrier family 43; member 1
cg07766315	LOC400451	hypothetical protein LOC400451
cg07766612	SLC30A2	solute carrier family 30; member 2 isoform 1
cg07770222	C8orf31	hypothetical protein LOC286122
cg07772309	NELF	nasal embryonic LHRH factor
cg07773116	GDF10	growth differentiation factor 10 precursor
cg07773642	PSMD7	proteasome 26S non-ATPase subunit 7
cg07774025	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7
cg07774222	MED6	mediator of RNA polymerase II transcription; subunit 6 homolog
cg07775501	JOSD2	hypothetical protein LOC126119
cg07775675	SPHK1	sphingosine kinase 1 isoform 1
cg07777378	GRN	granulin isoform 1 precursor
cg07778029	HOXA9	homeobox protein A9 isoform a
cg07778080	NPC1	Niemann-Pick disease; type C1
cg07780118	AR	androgen receptor isoform 1
cg07780979	AHRR	arylhydrocarbon receptor repressor
cg07782113	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1
cg07785936	GPR39	G protein-coupled receptor 39
cg07786760	DCHS2	dachsous 2 isoform 2
cg07788138	DOCK4	dedicator of cytokinesis 4
cg07789083	GPRC5C	G protein-coupled receptor family C; group 5; member C isoform a
cg07789552	STK40	SINK-homologous serine/threonine kinase
cg07789904	MAD2L2	MAD2 homolog
cg07790638	LOC91431	prematurely terminated mRNA decay factor-like
cg07791997	PPME1	protein phosphatase methylesterase-1
cg07792737	NPIP	nuclear pore complex interacting protein
cg07799434	MGC2803	hypothetical protein MGC2803
cg07799947	NPAS2	neuronal PAS domain protein 2
cg07800320	ALDH1L1	aldehyde dehydrogenase 1 family; member L1
cg07803864	TUBAL3	tubulin; alpha-like 3
cg07804122	TXN	thioredoxin
cg07804582	MGC33367	hypothetical protein LOC123970
cg07805833	POLR1C	RNA polymerase I subunit isoform 1
cg07806164	UBE2E2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog; yeast)
cg07807709	HIST2H2AB	histone H2A
cg07807817	C14orf44	hypothetical protein LOC145483
cg07808960	RBM6	RNA binding motif protein 6
cg07810156	PDZK1IP1	PDZK1 interacting protein 1
cg07810967	IL13	interleukin 13 precursor
cg07811498	LOC91689	hypothetical protein LOC91689
cg07811750	CAMTA2	calmodulin binding transcription activator 2
cg07815386	RNF149	ring finger protein 149
cg07816074	SH3TC1	SH3 domain and tetratricopeptide repeats 1
cg07816439	C1QTNF2	C1q and tumor necrosis factor related protein 2
cg07816442	CD3EAP	CD3E antigen; epsilon polypeptide associated protein
cg07817698	DHODH	dihydroorotate dehydrogenase isoform 1 precursor
cg07817783	DAP	death-associated protein
cg07818646	FLJ11712	hypothetical protein LOC79621
cg07819926	HSPC268	hypothetical protein LOC154791
cg07820214	RUVBL1	TATA binding protein interacting protein 49 kDa
cg07823492	HOXB1	homeo box B1
cg07823755	UGT1A1	UDP glycosyltransferase 1 family; polypeptide A1 precursor
cg07823935	NCKAP1	NCK-associated protein 1 isoform 1
cg07824317	RPGR	retinitis pigmentosa GTPase regulator isoform A
cg07824742	DBH	dopamine beta-hydroxylase precursor
cg07826255	SGCA	sarcoglycan; alpha (50kDa dystrophin-associated glycoprotein)
cg07827038	MRP63	mitochondrial ribosomal protein 63
cg07829804	OLR1	oxidised low density lipoprotein (lectin-like) receptor 1
cg07829809	METAP1	methionyl aminopeptidase 1
cg07830847	KCNA10	potassium voltage-gated channel; shaker-related subfamily; member 10
cg07832674	IL17RE	interleukin 17 receptor E isoform 3
cg07833035	RPS23	ribosomal protein S23
cg07833382	SCPEP1	serine carboxypeptidase 1 precursor protein
cg07836370	GLTP	glycolipid transfer protein
cg07837085	SLAMF7	SLAM family member 7
cg07837262	SLC39A14	solute carrier family 39 (zinc transporter); member 14
cg07841014	REG1B	regenerating islet-derived 1 beta precursor
cg07842062	MEFV	Mediterranean fever protein
cg07842593	SEPHS2	selenophosphate synthetase 2
cg07843027	LOC124491	hypothetical protein LOC124491
cg07844021	COIL	coilin
cg07844572	FTSJ3	FtsJ homolog 3
cg07845390	KCNT2	potassium channel; subfamily T; member 2
cg07845392	SLC25A10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter); member 10
cg07845566	B3GAT1	beta-1;3-glucuronyltransferase 1
cg07846167	FBLIM1	filamin-binding LIM protein-1 isoform a
cg07846220	LAMA1	laminin; alpha 1 precursor
cg07847428	39874	membrane-associated ring finger (C3HC4) 2 isoform 1
cg07849904	MN1	meningioma  1
cg07850221	PSENEN	presenilin enhancer 2
cg07850604	INSM2	insulinoma-associated protein IA-6
cg07851192	KCNG2	potassium voltage-gated channel; subfamily G; member 2
cg07851243	MXRA7	transmembrane anchor protein 1 isoform 3
cg07851278	RIOK3	sudD suppressor of bimD6 homolog isoform 1
cg07854244	IHPK2	inositol hexaphosphate kinase 2 isoform a
cg07855056	CCDC55	hypothetical protein LOC84081 isoform 1
cg07857181	POLH	polymerase (DNA directed); eta
cg07858745	GTF2I	general transcription factor II; i isoform 1
cg07861564	HSPB8	heat shock 27kDa protein 8
cg07862358	MYO10	myosin X
cg07864189	NADSYN1	NAD synthetase 1
cg07864297	ESRRB	estrogen-related receptor beta
cg07864632	TRIP12	thyroid hormone receptor interactor 12
cg07865790	IKIP	IKK interacting protein isoform 3.1
cg07867360	PPP2R2C	gamma isoform of regulatory subunit B55; protein phosphatase 2 isoform a
cg07868688	ORC3L	origin recognition complex; subunit 3 isoform 2
cg07871503	RASGEF1A	RasGEF domain family; member 1A
cg07872652	CNIH2	cornichon homolog 2
cg07873128	OSBPL5	oxysterol-binding protein-like protein 5 isoform a
cg07873488	MUC17	mucin 17
cg07874155	CTNNA1	catenin; alpha 1
cg07874284	PRPS2	phosphoribosyl pyrophosphate synthetase 2
cg07874520	THEM5	thioesterase superfamily member 5
cg07876586	PGRMC1	progesterone receptor membrane component 1
cg07879727	WNT3	wingless-type MMTV integration site family; member 3
cg07879977	OR1F1	olfactory receptor; family 1; subfamily F; member 1
cg07880061	PX19	px19-like protein
cg07880715	RB1	retinoblastoma 1
cg07880854	FLJ37440	hypothetical protein LOC129804
cg07881407	CCL14	chemokine (C-C motif) ligand 14 isoform 2 precursor
cg07882535	TRPM5	transient receptor potential cation channel; subfamily M; member 5
cg07882831	TTYH2	tweety 2 isoform 1
cg07883333	F11R	F11 receptor isoform a precursor
cg07884019	HMP19	HMP19 protein
cg07884474	VPS16	vacuolar protein sorting 16 isoform 1
cg07886712	RHBDD3	chromosome 22 open reading frame 3
cg07888040	GLDN	collomin
cg07888234	TNFRSF11A	tumor necrosis factor receptor superfamily; member 11a precursor
cg07889201	ZNF343	zinc finger protein 343
cg07890954	NR2E3	photoreceptor-specific nuclear receptor isoform b
cg07892051	AKAP3	A-kinase anchor protein 3
cg07894162	TUG1	
cg07894717	CORT	cortistatin preproprotein
cg07895149	FAM26B	hypothetical protein LOC51063
cg07896225	BCL7C	B-cell CLL/lymphoma 7C
cg07897193	SOCS5	suppressor of cytokine signaling 5
cg07897414	KLHL4	kelch-like 4 isoform 2
cg07897701	ABP1	amiloride binding protein 1 precursor
cg07897837	C1orf131	hypothetical protein LOC128061
cg07899016	PCDHB12	protocadherin beta 12 precursor
cg07899425	GSR	glutathione reductase
cg07900766	SPAG16	sperm associated antigen 16 isoform 2
cg07903860	DCLRE1C	artemis protein isoform b
cg07903918	GABBR2	G protein-coupled receptor 51
cg07905963	CYP2A13	cytochrome P450; family 2; subfamily A; polypeptide 13
cg07906495	KIAA1333	hypothetical protein LOC55632
cg07906724	CHRNA6	cholinergic receptor; nicotinic; alpha polypeptide 6
cg07908874	TUBGCP2	tubulin; gamma complex associated protein 2
cg07909265	ITGAV	integrin alpha-V precursor
cg07909422	SIRT5	sirtuin 5 isoform 1
cg07909527	NUBP2	nucleotide binding protein 2 (MinD homolog; E. coli)
cg07911663	RP13-360B22.2	hypothetical protein LOC84187
cg07911673	SLC25A35	solute carrier family 25; member 35
cg07912181	HSD17B12	steroid dehydrogenase homolog
cg07914866	IRAK3	interleukin-1 receptor-associated kinase 3
cg07914959	BACH2	BTB and CNC homology 1; basic leucine zipper transcription factor 2
cg07915282	RASSF3	Ras association (RalGDS/AF-6) domain family 3
cg07915343	LDHAL6A	hypothetical protein LOC160287
cg07915542	IDH1	isocitrate dehydrogenase 1 (NADP+); soluble
cg07917796	DIAPH2	diaphanous 2 isoform 12C
cg07918509	ICAM2	intercellular adhesion molecule 2 precursor
cg07919162	SF4	splicing factor 4 isoform b
cg07922606	HIST1H3E	H3 histone family; member D
cg07924575	HPS4	light ear protein isoform a
cg07924819	ATF6	activating transcription factor 6
cg07925687	RABL3	RAB; member of RAS oncogene family-like 3
cg07926025	CER1	cerberus 1
cg07927484	NS4ATP2	Sin3A associated protein p30-like
cg07928641	LAMC1	laminin; gamma 1 precursor
cg07928695	BLOC1S3	biogenesis of lysosome-related organelles complex-1; subunit 3
cg07929310	KIAA0513	hypothetical protein LOC9764
cg07930578	LTK	leukocyte tyrosine kinase isoform 2
cg07933176	MGC3265	hypothetical protein LOC78991
cg07933197	LTBP4	latent transforming growth factor beta binding protein 4
cg07933199	C3orf59	hypothetical protein LOC151963
cg07934026	ABCA11	
cg07935151	LSM2	LSM2 homolog; U6 small nuclear RNA associated
cg07935264	IL1B	interleukin 1; beta proprotein
cg07935568	MLNR	motilin receptor
cg07936037	SSR1	signal sequence receptor; alpha
cg07937272	PARP12	zinc finger CCCH-type domain containing 1
cg07940485	SLC16A10	solute carrier family 16; member 10
cg07940804	ACTRT1	actin-related protein T1
cg07942995	ZSCAN1	zinc finger and SCAN domain containing 1
cg07944287	RFX2	regulatory factor X2 isoform b
cg07944811	GCK	glucokinase isoform 1
cg07945480	GRK4	G protein-coupled receptor kinase 4 isoform alpha
cg07947016	KLK2	kallikrein 2; prostatic isoform 1
cg07947930	PRELP	proline arginine-rich end leucine-rich repeat protein precursor
cg07948245	ARHGAP5	Rho GTPase activating protein 5 isoform b
cg07948472	SPATA9	spermatogenesis associated 9 isoform a
cg07950803	CD1A	CD1A antigen precursor
cg07952391	FLJ10916	hypothetical protein LOC55258
cg07952773	ADPRHL2	ADP-ribosylhydrolase like 2
cg07955356	DNASE2	deoxyribonuclease II; lysosomal precursor
cg07955828	DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35
cg07955887	KIAA0802	hypothetical protein LOC23255
cg07957491	UCK1	uridine-cytidine kinase 1
cg07958192	TIGD2	tigger transposable element derived 2
cg07959477	CLEC1A	C-type lectin-like receptor-1
cg07959896	GEMIN6	gemin 6
cg07960846	STK11	serine/threonine protein kinase 11
cg07962043	HSPA5BP1	GBP protein isoform a
cg07962051	TNKS	tankyrase; TRF1-interacting ankyrin-related ADP-ribose polymerase
cg07962315	C9orf95	nicotinamide riboside kinase 1
cg07964133	HNRPD	heterogeneous nuclear ribonucleoprotein D isoform d
cg07964538	CAV1	caveolin 1
cg07964539	TRFP	Trf (TATA binding protein-related factor)-proximal homolog
cg07965714	XPA	xeroderma pigmentosum; complementation group A
cg07965823	THSD3	thrombospondin; type I domain containing 3 isoform 3
cg07965839	ZA20D3	zinc finger; A20 domain containing 3
cg07967308	ACP5	tartrate resistant acid phosphatase 5 precursor
cg07967643	FRS3	fibroblast growth factor receptor substrate 3
cg07970007	GBP1	guanylate binding protein 1; interferon-inducible; 67kD
cg07971188	HCP5	HLA complex P5
cg07973246	SRGAP1	SLIT-ROBO Rho GTPase-activating protein 1
cg07973390	CARF	collaborates/cooperates with ARF (alternate reading frame) protein
cg07973395	BLM	Bloom syndrome protein
cg07973461	BAGE	B melanoma antigen
cg07973967	CD79B	CD79B antigen isoform 1 precursor
cg07974125	C4orf14	hypothetical protein LOC84273
cg07974303	DEFA6	defensin; alpha 6 preproprotein
cg07974891	ITGB1BP1	integrin cytoplasmic domain-associated protein 1 isoform 2
cg07975063	ZNF512	zinc finger protein 512
cg07975813	USP5	Ubiquitin isopeptidase T
cg07977490	C16orf45	hypothetical protein LOC89927
cg07979357	IL27RA	class I cytokine receptor
cg07979577	PPP2R5A	protein phosphatase 2; regulatory subunit B (B56); alpha isoform
cg07979752	CUL5	Vasopressin-activated calcium-mobilizing receptor-1
cg07980015	TMTC4	hypothetical protein LOC84899
cg07980518	RNF152	ring finger protein 152
cg07980804	WDR7	rabconnectin-3 beta isoform 1
cg07980988	SH2D1A	SH2 domain protein 1A
cg07981495	CGA	glycoprotein hormones; alpha polypeptide precursor
cg07981588	YWHAZ	tyrosine 3/tryptophan 5 -monooxygenase activation protein; zeta polypeptide
cg07981910	DAB2IP	DAB2 interacting protein isoform 2
cg07985359	EVI5L	hypothetical protein LOC115704
cg07986525	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
cg07986773	NUP50	nucleoporin 50kDa isoform a
cg07989514	C14orf4	chromosome 14 open reading frame 4
cg07990489	NUP35	nucleoporin 35kDa isoform a
cg07990939	TMTC3	hypothetical protein LOC160418
cg07991621	SH3BP2	SH3-domain binding protein 2
cg07992625	ATF7	activating transcription factor 7
cg07997737	NRTN	neurturin precursor
cg08001895	EPHA7	ephrin receptor EphA7
cg08002996	SOCS2	suppressor of cytokine signaling-2
cg08003150	KCNQ2	potassium voltage-gated channel KQT-like protein 2 isoform c
cg08003742	CXCL3	chemokine (C-X-C motif) ligand 3
cg08005849	HGF	hepatocyte growth factor isoform 2 precursor
cg08007665	KCNQ1	potassium voltage-gated channel; KQT-like subfamily; member 1 isoform 1
cg08008233	TCEB3C	transcription elongation factor B polypeptide 3C
cg08008403	LHX9	LIM homeobox 9 isoform 1
cg08008562	UBE2Q1	ubiquitin-conjugating enzyme E2Q
cg08009328	HIST1H2BF	H2B histone family; member G
cg08009622	COL12A1	alpha 1 type XII collagen short isoform precursor
cg08009711	C21orf25	hypothetical protein LOC25966
cg08009831	LOC201895	hypothetical protein LOC201895
cg08011170	ELAC2	elaC homolog 2
cg08011328	BYSL	bystin
cg08012287	ACTN3	skeletal muscle specific actinin; alpha 3
cg08012454	KIF5B	kinesin family member 5B
cg08013810	PHF20	PHD finger protein 20
cg08015253	MOCOS	molybdenum cofactor sulfurase
cg08015496	COPA	coatomer protein complex; subunit alpha
cg08016363	TMEM11	transmembrane protein 11
cg08016383	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif; 17 preproprotein
cg08017606	SH3RF2	SH3 domain containing ring finger 2
cg08020051	GPAA1	anchor attachment protein 1
cg08020381	IDI1	isopentenyl-diphosphate delta isomerase
cg08020808	CMA1	chymase 1; mast cell preproprotein
cg08021299	HEPH	hephaestin isoform b
cg08022502	UNC45A	smooth muscle cell associated protein-1 isoform 2
cg08023692	TFDP3	transcription factor Dp family; member 3
cg08023751	MERTK	MER receptor tyrosine kinase precursor
cg08024766	PSCD1	pleckstrin homology; Sec7 and coiled/coil domains 1 isoform 1
cg08025786	CLK3	CDC-like kinase 3 isoform hclk3
cg08026144	PCSK5	proprotein convertase subtilisin/kexin type 5 preproprotein
cg08027001	SLC30A4	solute carrier family 30 (zinc transporter); member 4
cg08027745	SFRS3	splicing factor; arginine/serine-rich 3
cg08028004	RANBP2	RAN binding protein 2
cg08029608	TLR7	toll-like receptor 7
cg08030082	POMC	proopiomelanocortin
cg08032971	DMBX1	diencephalon/mesencephalon homeobox 1 isoform b
cg08034216	IDE	insulysin
cg08034397	TMEM16K	hypothetical protein LOC55129
cg08035082	AMPD3	erythrocyte adenosine monophosphate deaminase isoform 1A
cg08035942	ZADH2	zinc binding alcohol dehydrogenase; domain containing 2
cg08039281	PSMA6	proteasome alpha 6 subunit
cg08040428	PSD3	ADP-ribosylation factor guanine nucleotide factor 6 isoform a
cg08040471	C17orf62	hypothetical protein LOC79415
cg08041019	ATXN2	ataxin 2
cg08044694	BRD4	bromodomain-containing protein 4 isoform long
cg08045570	FOXF2	forkhead box F2
cg08045757	HDAC7A	histone deacetylase 7A isoform a
cg08046471	CXCL11	small inducible cytokine B11 precursor
cg08047457	RASSF1	Ras association domain family 1 isoform A
cg08047907	C1orf114	hypothetical protein LOC57821
cg08048656	SMARCE1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin e1
cg08049198	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
cg08052882	NNT	nicotinamide nucleotide transhydrogenase
cg08054038	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)
cg08056146	SOX7	SRY-box 7
cg08056903	GPHN	gephyrin isoform 1
cg08057475	C15orf21	D-PCa-2 protein isoform c
cg08062469	SPAG5	sperm associated antigen 5
cg08063013	COX8A	cytochrome c oxidase subunit 8A
cg08063724	MYCL1	l-myc-1 proto-oncogene isoform 2
cg08064891	PTOV1	prostate tumor overexpressed gene 1
cg08067268	HADHB	hydroxyacyl dehydrogenase; subunit B
cg08067365	G1P2	interferon; alpha-inducible protein (clone IFI-15K)
cg08069899	CCND2	cyclin D2
cg08072716	GPR62	G protein-coupled receptor 62
cg08074477	TNS4	C-terminal tensin-like
cg08076508	PHF8	PHD finger protein 8
cg08077345	PLEKHA4	pleckstrin homology domain containing; family A (phosphoinositide binding specific) member 4
cg08077673	MEST	mesoderm specific transcript isoform b
cg08079693	CHD6	chromodomain helicase DNA binding protein 6
cg08080029	CHD5	chromodomain helicase DNA binding protein 5
cg08081036	ANXA2	annexin A2 isoform 2
cg08081407	ARF4	ADP-ribosylation factor 4
cg08081725	NDE1	nuclear distribution gene E homolog 1
cg08082692	GALNAC4S-6ST	B cell RAG associated protein
cg08083689	ACOX3	acyl-Coenzyme A oxidase 3; pristanoyl
cg08084415	ZNF507	zinc finger protein 507
cg08085165	NUP37	nucleoporin 37kDa
cg08085267	C17orf57	hypothetical protein LOC124989
cg08088390	DEFB125	beta defensin 125 preproprotein
cg08088989	SUHW1	suppressor of hairy wing homolog 1
cg08089301	HOXB4	homeo box B4
cg08090396	NEK4	NIMA (never in mitosis gene a)-related kinase 4
cg08090640	IFI35	interferon-induced protein 35
cg08090772	ADHFE1	alcohol dehydrogenase; iron containing; 1
cg08093211	CSTF2	cleavage stimulation factor subunit 2
cg08093278	RANBP3	RAN binding protein 3 isoform RANBP3-a
cg08093398	PSF1	DNA replication complex GINS protein PSF1
cg08095532	PSMA4	proteasome alpha 4 subunit
cg08096010	SAG	S-arrestin
cg08096038	C6orf111	hypothetical protein LOC25957
cg08096946	DIRC2	disrupted in renal carcinoma 2
cg08097657	SEMA3B	semaphorin 3B isoform 2 precursor
cg08097755	VGF	VGF nerve growth factor inducible precursor
cg08097882	POU4F1	POU domain; class 4; transcription factor 1
cg08097973	NUMA1	nuclear mitotic apparatus protein 1
cg08099701	GABRA5	gamma-aminobutyric acid (GABA) A receptor; alpha 5 precursor
cg08100497	NRG2	neuregulin 2 isoform 1
cg08101172	PSIP1	PC4 and SFRS1 interacting protein 1 isoform 1
cg08101264	ACOT8	peroxisomal acyl-CoA thioesterase 1 isoform b
cg08102619	TIAL1	TIA-1 related protein isoform 1
cg08103676	39878	membrane-associated ring finger (C3HC4) 6
cg08104838	SDHA	succinate dehydrogenase complex; subunit A; flavoprotein precursor
cg08107272	CTNNA2	catenin; alpha 2
cg08107767	MRPS17	mitochondrial ribosomal protein S17
cg08108311	WNK4	WNK lysine deficient protein kinase 4
cg08108641	NTNG2	netrin G2
cg08108953	WFDC13	WAP four-disulfide core domain 13 precursor
cg08109646	ZNF683	zinc finger protein 683
cg08109815	NMBR	neuromedin B receptor
cg08110559	KCTD9	potassium channel tetramerisation domain containing 9
cg08113203	SMR3B	submaxillary gland androgen regulated protein 3 homolog B
cg08113913	CCDC74B	hypothetical protein LOC91409
cg08115510	AMOTL2	angiomotin like 2
cg08116137	NAT8	N-acetyltransferase 8
cg08118311	SALL3	sal-like 3
cg08120190	C7orf36	hypothetical protein LOC57002
cg08121954	TDO2	tryptophan 2;3-dioxygenase
cg08122545	HES4	hairy and enhancer of split 4
cg08123074	PHACTR4	phosphatase and actin regulator 4
cg08124030	TM4SF1	transmembrane 4 superfamily member 1
cg08124399	DDX43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43
cg08124722	CCL7	chemokine (C-C motif) ligand 7 precursor
cg08126211	KAAG1	hypothetical protein LOC353219
cg08128768	DAB2IP	DAB2 interacting protein isoform 1
cg08130265	C15orf5	hypothetical protein LOC81698
cg08132711	KSP37	Ksp37 protein
cg08132767	ARL1	ADP-ribosylation factor-like 1
cg08132931	ADD2	adducin 2 isoform b
cg08136806	KRT6E	keratin 6 isoform K6e
cg08136893	C7orf11	chromosome 7 open reading frame 11
cg08137040	LOC168850	hypothetical protein LOC168850
cg08137716	TTLL6	hypothetical protein LOC284076
cg08139833	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8; 23kDa (NADH-coenzyme Q reductase)
cg08141463	PLA1A	phospholipase A1 member A
cg08141806	FBXO21	F-box only protein 21 isoform 1
cg08141873	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog isoform 2
cg08141989	ASGR1	asialoglycoprotein receptor 1
cg08142684	TCP1	T-complex protein 1 isoform a
cg08145177	ABHD8	abhydrolase domain containing 8
cg08145590	C3orf15	AAT1-alpha
cg08145625	TRAM1L1	translocation associated membrane protein 1-like 1
cg08146221	PTMS	parathymosin
cg08147886	ACSL3	acyl-CoA synthetase long-chain family member 3
cg08149333	SLC25A24	solute carrier family 25 member 24 isoform 1
cg08151281	BRP44	brain protein 44
cg08151470	UBE4B	ubiquitination factor E4B
cg08156349	MEF2D	MADS box transcription enhancer factor 2; polypeptide D (myocyte enhancer factor 2D)
cg08157292	PPP1R7	protein phosphatase 1; regulatory subunit 7
cg08157579	SERHL2	serine hydrolase-like 2
cg08157638	VANGL1	vang-like 1
cg08158289	KIAA0141	hypothetical protein LOC9812
cg08158331	LOC284948	hypothetical protein LOC284948
cg08158570	ZNF503	zinc finger protein 503
cg08158860	RAD51L1	RAD51-like 1 isoform 1
cg08159444	PNMA5	hypothetical protein LOC114824
cg08162572	CSE1L	CSE1 chromosome segregation 1-like protein
cg08162780	GDF15	growth differentiation factor 15
cg08163803	EFHA1	EF hand domain family; member A1
cg08164315	PTGER4	prostaglandin E receptor 4; subtype EP4
cg08164900	PDZD8	PDZ domain containing 8
cg08166982	CSDE1	upstream of NRAS isoform 2
cg08169325	EPIM	epimorphin isoform 2
cg08170622	CCND1	cyclin D1
cg08172935	AMZ2	archaemetzincins-2 isoform 1
cg08173535	NR6A1	nuclear receptor subfamily 6; group A; member 1 isoform 1
cg08174003	ZNF600	zinc finger protein 600
cg08176609	POMGNT1	O-linked mannose beta1;2-N-acetylglucosaminyltransferase
cg08176694	PITPNM2	phosphatidylinositol transfer protein; membrane-associated 2
cg08177017	C10orf6	hypothetical protein LOC55719
cg08177445	FATE1	fetal and adult testis expressed transcript protein
cg08179530	CDKN1A	cyclin-dependent kinase inhibitor 1A
cg08179907	RAB39	rab-related GTP-binding protein
cg08183114	PBX2	pre-B-cell leukemia transcription factor 2
cg08185241	G0S2	putative lymphocyte G0/G1 switch gene
cg08185661	SYT9	synaptotagmin IX
cg08186124	LZTFL1	leucine zipper transcription factor-like 1
cg08186362	HRH3	histamine receptor H3
cg08190044	ATP8B2	ATPase; Class I; type 8B; member 2 isoform b
cg08190291	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif; 5 preproprotein
cg08191854	TRPM2	transient receptor potential cation channel; subfamily M; member 2 isoform SSF-TRPM2
cg08191915	PANX3	pannexin 3
cg08195505	ETV5	ets variant gene 5 (ets-related molecule)
cg08197122	DCC1	defective in sister chromatid cohesion homolog 1
cg08197201	RAB6IP2	RAB6-interacting protein 2 isoform beta
cg08198102	PTPLA	protein tyrosine phosphatase-like; member a
cg08198370	MRPS15	mitochondrial ribosomal protein S15
cg08198480	FLJ34047	hypothetical protein LOC285696
cg08201421	TNNC2	fast skeletal muscle troponin C
cg08203715	ST3GAL4	ST3 beta-galactoside alpha-2;3-sialyltransferase 4
cg08205655	USP18	ubiquitin specific protease 18
cg08205865	SAC	soluble adenylyl cyclase
cg08207256	DNM2	dynamin 2 isoform 3
cg08209133	SLC10A4	solute carrier family 10 (sodium/bile acid cotransporter family); member 4
cg08209724	ZNF207	zinc finger protein 207 isoform b
cg08210616	ZNF502	zinc finger protein 502
cg08211091	FLJ37478	hypothetical protein LOC339983
cg08211967	AKAP13	A-kinase anchor protein 13 isoform 1
cg08212685	ATG10	APG10 autophagy 10-like
cg08214029	CCL18	small inducible cytokine A18 precursor
cg08214328	CTPS2	cytidine triphosphate synthase II
cg08214957	CDR1	cerebellar degeneration-related protein 1; 34kDa
cg08216720	SLC31A1	solute carrier family 31 (copper transporters); member 1
cg08216792	LIG4	DNA ligase IV
cg08216808	ARPC2	actin related protein 2/3 complex subunit 2
cg08220793	TSEN2	tRNA splicing endonuclease 2 homolog
cg08221207	FEZ1	zygin 1 isoform 2
cg08222185	ADARB1	RNA-specific adenosine deaminase B1 isoform 1
cg08222514	SENP6	SUMO1/sentrin specific protease 6
cg08222662	ZC3HAV1	zinc finger antiviral protein isoform 2
cg08223235	BCL2	B-cell lymphoma protein 2 beta isoform
cg08223748	MEF2C	MADS box transcription enhancer factor 2; polypeptide C (myocyte enhancer factor 2C)
cg08228917	LHFP	lipoma HMGIC fusion partner
cg08229627	NPHP1	nephrocystin isoform 1
cg08229694	IMMT	inner membrane protein; mitochondrial
cg08233088	C15orf15	ribosomal protein L24-like
cg08233173	ATP6V0E	ATPase; H+ transporting; lysosomal; V0 subunit e
cg08235271	LPHN2	latrophilin 2 precursor
cg08241785	F2RL2	coagulation factor II (thrombin) receptor-like 2 precursor
cg08242020	RTN3	reticulon 3 isoform c
cg08242323	POLR2D	DNA directed RNA polymerase II polypeptide D
cg08242493	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
cg08244028	MSH3	mutS homolog 3
cg08244522	THBD	thrombomodulin precursor
cg08245487	GSG1	germ cell associated 1 isoform 1
cg08245789	FLJ25421	hypothetical protein LOC150350
cg08247612	NHLH1	nescient helix loop helix 1
cg08248532	PRDX4	thioredoxin peroxidase
cg08250444	EFNA1	ephrin A1 isoform b precursor
cg08251036	MGAT5	alpha-1;3(6)-mannosylglycoprotein beta-1;6-N-acetyl-glucosaminyltransferase
cg08251399	EHD3	EH-domain containing 3
cg08253405	C1orf62	hypothetical protein LOC254268
cg08254089	BPI	bactericidal/permeability-increasing protein precursor
cg08254263	GDPD2	osteoblast differentiation promoting factor protein
cg08256027	HYMAI	
cg08256260	KCTD13	potassium channel tetramerisation domain containing 13
cg08256691	RIT1	Ras-like without CAAX 1
cg08256781	ACSBG2	bubblegum related protein
cg08258650	SLC1A2	solute carrier family 1; member 2
cg08259617	GADD45B	growth arrest and DNA-damage-inducible; beta
cg08260891	PPGB	protective protein for beta-galactosidase
cg08260959	HIST1H4F	H4 histone family; member C
cg08261094	SFRP4	secreted frizzled-related  protein 4
cg08261177	ALDH16A1	aldehyde dehydrogenase 16 family; member A1
cg08261666	VAMP2	vesicle-associated membrane protein 2 (synaptobrevin 2)
cg08261841	FLJ90586	hypothetical protein LOC135932
cg08262933	MORF4L2	MORF-related gene X
cg08263357	PLAGL1	pleiomorphic adenoma gene-like 1 isoform 2
cg08263647	LXN	latexin
cg08265265	SLC39A3	solute carrier family 39 (zinc transporter); member 3 isoform a
cg08268099	OLFM1	olfactomedin related ER localized protein isoform 1
cg08268266	LITAF	LPS-induced TNF-alpha factor
cg08269321	RPRML	reprimo-like
cg08270477	C17orf45	hypothetical protein LOC125144
cg08271519	TM9SF2	transmembrane 9 superfamily member 2
cg08274234	SEMA3E	semaphorin 3E
cg08274552	SLC4A3	solute carrier family 4; anion exchanger; member 3 isoform 2
cg08278554	C15orf48	hypothetical protein LOC84419
cg08283293	RNF44	ring finger protein 44
cg08284151	DPPA3	stella
cg08284180	WDR42A	H326
